"Gene","log2FC","p_val","Instability_Score","Significant"
"LOC102917237",-0.308198642443021,0.236433731290292,21.8338682089667,"Non-Significant"
"Lgals3bp",-0.395907206048518,0.35338761321173,21.7740457171245,"Non-Significant"
"Gsn",-0.062828221254712,0.529338408132731,20.9711051260456,"Non-Significant"
"Tpm3",0.346034182160317,0.264886753245963,20.877117579643,"Non-Significant"
"Tpi1",0.222686454587866,0.425460094787722,19.9365847528971,"Non-Significant"
"Itih2",-0.333258184848173,0.0355473254412866,19.6374720902491,"Non-Significant"
"LOC102924946",0.00498143333834733,0.977464345675353,19.4523609290448,"Non-Significant"
"Grn",0.148474616875523,0.6695880548288,18.3668880180462,"Non-Significant"
"Itih4",-0.246672392695434,0.0314904970498335,18.2926122484779,"Non-Significant"
"Arhgdia",0.256370927355134,0.415897369594755,17.9774626328641,"Non-Significant"
"Kctd12",-0.0733670947226539,0.659774458506597,17.8856928944283,"Non-Significant"
"F2",0.00236274088237565,0.983339561595163,17.8636796383606,"Non-Significant"
"Capns1",0.190158530369827,0.461038300335933,17.6940104802035,"Non-Significant"
"Apoc3",0.259942326652883,0.513290371268775,17.3849100659845,"Non-Significant"
"LOC102928203",0.392351672658471,0.30131711778132,17.3102383555637,"Non-Significant"
"LOC102904734",-0.241558853222402,0.325490818220634,16.8055811227145,"Non-Significant"
"Ahcy",0.202662211261725,0.675438501366248,16.8052524571289,"Non-Significant"
"C6",-0.00261874930583161,0.981117699647394,16.4959632792052,"Non-Significant"
"Itga11",0.0433132101653317,0.790053329044739,16.4115457126473,"Non-Significant"
"Itih3",-0.243807838765711,0.359308425459325,16.1516184214597,"Non-Significant"
"Klkb1",0.0530476434714338,0.486221984238219,16.0632981711182,"Non-Significant"
"Serpinc1",-0.456145728982598,0.00217340283608313,16.0166978126825,"Non-Significant"
"Thbs1",-0.111195359297099,0.593328397041328,15.9682315326376,"Non-Significant"
"Lrp1",0.232128931696476,0.3944194537669,15.8964955004903,"Non-Significant"
"Tubb1",0.634413154587325,0.196894207508336,15.6143797528421,"Non-Significant"
"LOC102907807",0.0973774362190643,0.56659587285151,15.5112219469688,"Non-Significant"
"Asl",0.738508832975388,0.0867830996288691,15.4484902558606,"Non-Significant"
"Coro1a",0.0768060001390705,0.837384635286566,15.2534456135252,"Non-Significant"
"Lbp",0.160843105458515,0.51380280211729,15.2421151412244,"Non-Significant"
"Lcat.1",-0.0494220975560467,0.777707791646971,15.1345937685099,"Non-Significant"
"Cst6",0.129642745187059,0.531619026249535,15.0273099927128,"Non-Significant"
"Cfi",-0.271217730946731,0.337098245637047,14.9802530300028,"Non-Significant"
"Naglu",-0.156658199590716,0.279604748972185,14.7539982202261,"Non-Significant"
"Myo16",0.523156477679134,0.175022060119402,14.4987664187333,"Non-Significant"
"Ckm",0.153915019579722,0.658565645349964,14.4838795337361,"Non-Significant"
"Fetub",-0.240491221074262,0.126467398738187,14.4586429871576,"Non-Significant"
"Clu",-0.20134930786196,0.0770058781375158,14.4328832489506,"Non-Significant"
"LOC102923082",-0.0427198484201874,0.794380441121536,14.3576280221489,"Non-Significant"
"Igfbp4",0.122786299359928,0.602567366627052,14.1704562646696,"Non-Significant"
"Actn1",0.499244067466941,0.154458441632174,14.1320872427247,"Non-Significant"
"LOC102912709",0.127401979575744,0.146771988226888,14.0103144269008,"Non-Significant"
"LOC102923955",0.644309629489211,0.0997815215293721,13.9896198376022,"Non-Significant"
"LOC102910240",0.388153694936065,0.134578425072656,13.9218591280139,"Non-Significant"
"Gpld1",0.148439514606846,0.384806763642385,13.6459968582117,"Non-Significant"
"Man2b1",0.0713903702376619,0.697553591155708,13.6333867025171,"Non-Significant"
"Antxr2",0.209806200899498,0.0611306577874306,13.358050732384,"Non-Significant"
"LOC102913681",0.291260636911277,0.426773205242133,13.3530919366155,"Non-Significant"
"LOC102913812",-0.184748814283928,0.527237891310237,13.1863591655965,"Non-Significant"
"Plxdc2",0.292054038744684,0.0856279614897357,13.1196603522021,"Non-Significant"
"Hdac2",0.0701559834376528,0.893285389722533,12.8318623008204,"Non-Significant"
"LOC102903835",0.94286603162201,0.109140280122055,12.7262062200722,"Non-Significant"
"Apoe",-0.000831693350626495,0.998170741313941,12.7188027184763,"Non-Significant"
"HBB",0.925216094068833,0.0758353192099629,12.451813958345,"Non-Significant"
"Psmb5",0.303762519014233,0.0258331158526165,12.3683568166673,"Non-Significant"
"Ctsb",0.110300183622181,0.513001568132455,12.3135391208146,"Non-Significant"
"Mmp19",0.0703814165387957,0.716527871338023,12.1973532811726,"Non-Significant"
"LOC102916072",-0.135248017689921,0.41001397803851,12.1686979397642,"Non-Significant"
"Adipoq",-0.215153605770823,0.472921194149618,12.1649906680366,"Non-Significant"
"Serpinf2",-0.158156400405215,0.354117521361308,12.114737368302,"Non-Significant"
"Cd44",-0.148262025272915,0.0661632813583571,12.0666183762601,"Non-Significant"
"LOC107399335",-0.485128733028905,0.333580877204522,11.8973641449786,"Non-Significant"
"Arpc2",0.0436470974757235,0.798259603940335,11.8143437875959,"Non-Significant"
"Tln1",0.231818770588088,0.256114961824836,11.8132047867102,"Non-Significant"
"LOC102926683",-0.0623081230614595,0.945851134446045,11.790888930368,"Non-Significant"
"Hp",0.847137829273404,0.352067305681572,11.752711777928,"Non-Significant"
"Arg1",0.475164025326849,0.155671590880234,11.7159286523761,"Non-Significant"
"LOC102917907",0.281464223123358,0.534007896015193,11.5951332246048,"Non-Significant"
"Pam",0.1462780397347,0.488739082693499,11.5146387318121,"Non-Significant"
"Pcsk9",-0.04174540051193,0.852529299826946,11.3917588540098,"Non-Significant"
"Apoh",-0.119891715438442,0.468568109415236,11.3231961286985,"Non-Significant"
