"Gene","Instability_Score"
"LBH",0.210057782727791
"RP5-994D16.9",0.209904519455763
"AC007326.9",0.209458468354721
"CTD-2396E7.11",0.209432044532483
"PROS1",0.209369572689968
"AC068580.5",0.20903062719006
"MIR6859-4",0.208811680096245
"RNU6-1003P",0.208162731994339
"RP11-110I1.5",0.208041390915272
"RNA5SP78",0.207591466597036
"RP11-335K5.3",0.207016853012461
"SNORD3A",0.20698106998817
"GPR141",0.206182185329765
"SERPINB7",0.20593348409912
"RP11-390P24.1",0.205705598569402
"RP3-407E4.2",0.205327521210227
"SPAG4",0.205200999625092
"RNU6-446P",0.205179555346134
"TNFAIP6",0.205022041480439
"RNA5SP132",0.204846028401808
"GPNMB",0.204186153275141
"RP11-796E10.1",0.204087213839567
"SNORA53",0.203821843233196
"RP11-383C5.5",0.203173066341503
"RP11-379F4.7",0.203111386162944
"RP11-722E23.2",0.203093619072724
"PRTN3",0.202966917955407
"AC008746.5",0.202864409934436
"EIF5AP4",0.202583135884515
"RNU7-124P",0.202270841648869
"CALM2P2",0.201931170501721
"SNORD1B",0.201904676001876
"RP11-23F23.2",0.201451849082388
"RN7SL738P",0.2013307825016
"PIM1",0.20126253035658
"HSD17B14",0.201198039786517
"MIR378J",0.201071360889141
"MIR760",0.201010006210806
"AC092384.1",0.200562688042958
"RP11-1134I14.4",0.200544082323072
"MDK",0.200509735505059
"RNY1P16",0.200493699436944
"SCARNA24",0.200420888769296
"MVD",0.199853586441832
"HMGCR",0.199828069854341
"RNU6-767P",0.199769380740872
"SNHG25",0.199742254822265
"MVK",0.199288112878099
"MYL9",0.199151403995614
"SNORA2A",0.198899992282653
"RP11-50D9.4",0.19880537632408
"SEMA3B",0.198591354915481
"RP11-165A20.3",0.198309506439455
"RNU6-212P",0.198156037916057
"RNU6-1077P",0.198082043067583
"MIR1244-4",0.197853409499199
"RPS20P33",0.197334343374601
"CTD-2134A5.4",0.197157944668663
"RP11-619I22.1",0.197053440336579
"SNORD111B",0.197040687888312
"SEMA4G",0.196814501658979
"TMEM37",0.196652057140617
"CTC-273B12.10",0.196521972903315
"MT1P1",0.196451360726086
"RP11-458F8.1",0.196052432612261
"AF127936.9",0.196035389149569
"MIR6819",0.19549780112851
"RRM2",0.195472062244855
"RNU4-23P",0.195235186471539
"RNU2-42P",0.194930879646881
"MIR26A2",0.194426985099842
"RP11-38L15.8",0.194219821023536
"AK4",0.193807108873514
"RP1-60O19.1",0.193683573123008
"CTC-490E21.10",0.193107042294501
"LUADT1",0.192688139046334
"AC073657.1",0.192477866919171
"HSPB1P1",0.192389628954832
"TNS1",0.192299544289317
"RP11-396M11.1",0.192294482201967
"INAFM2",0.191960850827544
"HIST1H4D",0.191751662429303
"KCNK3",0.190996035090819
"RP11-164P12.4",0.190830122702215
"MIR132",0.190661123843449
"RP11-33N14.5",0.190624271798314
"RNU6-796P",0.190378055042667
"DACT2",0.190149957805828
"HIST1H4PS1",0.189870982779156
"MIR1206",0.189833473482431
"COX5BP6",0.189743825745045
"RP11-211C9.1",0.189639918715238
"CTC-339F2.2",0.188775445176207
"RNU6-531P",0.188579586647532
"KLF9",0.188351802990819
"RNU6-1042P",0.188293996035788
"RP11-996F15.5",0.18808259645422
"ERICH4",0.187920538060727
"TM4SF5",0.187891932493236
"CTD-2514C3.1",0.187800563225832
"UBE2D3P1",0.187716430482232
"ID1",0.187688507281247
"MIR25",0.187650907097241
"SNORD19",0.1872132367662
"RP11-417L19.4",0.186837028300877
"RPL23AP95",0.186789534663942
"CTC-527H23.3",0.186663180498843
"RNU7-57P",0.186514259246474
"RP11-159D12.11",0.18607447113797
"LGALS4",0.185984468477512
"RP11-396C23.4",0.18598311696394
"RP11-738B7.1",0.185960806725798
"RP11-395B7.4",0.185669029386177
"RNY4P19",0.185631249611096
"TFPI",0.185611502556369
"RNA5SP175",0.185605840824935
"AL138706.1",0.185523840743144
"HIST1H2BO",0.185261954535649
"RP3-467L1.6",0.185141369066186
"RNU2-69P",0.185138913744067
"RNU4-1",0.18512989834397
"RP11-257O5.4",0.184768721975119
"COX7CP1",0.184551124900203
"LA16c-390E6.4",0.184327272972514
"LINC01589",0.184300934796691
"AC010733.5",0.183471854993632
"CBR3",0.183439279855777
"RP1-197B17.5",0.183397031713995
"ZNF296",0.183290541517624
"LINC01556",0.182650004513387
"PAPSS2",0.18238800774415
"MIR924",0.18238631789477
"RNU11",0.181928594778199
"AC006273.4",0.181319259329207
"CTD-2538C1.2",0.181255865396492
"CTB-39G8.3",0.18121297038113
"RP11-35N6.6",0.181199593295638
"RP11-272P10.2",0.181176219362791
"SPX",0.180667159954178
"1.11",0.18057340995241
"AP001052.1",0.180204855863055
"HABP2",0.180153454002915
"RP11-254I22.3",0.179708994113736
"GGT8P",0.179500638349815
"RNU6-930P",0.179135468840255
"SPARC",0.179076496444827
"AP006621.6",0.178938328756304
"SNORD113-3",0.178803753575485
"RNU2-27P",0.178670767063436
"RHOT1P1",0.178359639957669
"ANGPTL4",0.177097652586522
"RNU6-951P",0.177015615089482
"RP11-583F2.6",0.176872002382576
"BCL6",0.17647440464939
"RNU6-1099P",0.176230092927769
"RNU6-595P",0.176230092927769
"DOK4",0.176131831551506
"DEFB109P1",0.176011002313121
"SNRPEP2",0.175643516872776
"ACAT2",0.175550048272387
"RP11-227F19.5",0.175462958885349
"TFF1",0.175226120972584
"CTD-2547E10.3",0.174651631837219
"CTD-2269E23.4",0.174619775955302
"RP4-555D20.3",0.174530378619111
"CTD-2349P21.10",0.174512916332496
"RNU6ATAC27P",0.174318772548644
"RN7SL130P",0.174109231859056
"RN7SL689P",0.174003231563124
"RP11-666A20.3",0.173742914298082
"CD83",0.1733995923877
"PLA1A",0.173214584098219
"RP11-156G14.6",0.173167169927511
"RHOV",0.172697730936666
"GS1-345D13.1",0.172459438909801
"DPEP1",0.172102160442907
"RP5-1068H6.6",0.172059406817148
"RP11-471B22.2",0.171976155079904
"RPL35AP4",0.171841697835701
"RP11-15I20.1",0.171813249883091
"AP000487.6",0.171505051923234
"NR1H4",0.171457645577359
"RNU6-720P",0.171350421075031
"HHIPL2",0.171040864810322
"TNFSF10",0.171006945964896
"RP11-384F7.2",0.170739702395059
"FOCAD-AS1",0.170400107937827
"MTCO1P12",0.170250329419782
"SQLE",0.170084724482941
"ABCC6",0.16992927126516
"TMEM45A",0.169891868851694
"RP4-777L9.2",0.16966617132846
"RNU6-450P",0.169593955698513
"NNAT",0.169450632241622
"CCL2",0.169319716948794
"RNU6-418P",0.169033718071207
"RP11-383J24.1",0.168922212708178
"CTA-29F11.1",0.168598727310149
"RNU6-1129P",0.168415702234041
"CTD-2021J15.1",0.168340469148732
"RP5-1050D4.4",0.168318858050765
"RP11-351I24.3",0.168300629037642
"C19orf73",0.168140312456906
"MTFP1",0.168052183366302
"RP11-554E23.4",0.16803358360434
"UAP1L1",0.168000975348556
"CTD-2547E10.5",0.167912494989133
"MIR1244-3",0.167834205609954
