"Gene","PC1","PC2"
"POLR2E",0.000613942814513865,0.0141293124265299
"C7orf50",0.000503072146271691,0.0141173312091233
"ABCD4",-0.00290613586712079,-0.0140890429864014
"PDE1C",0.0043082408102517,-0.0140809255108576
"CACFD1",0.000897437546763546,-0.0140748805647384
"5",3.63005410508575e-05,0.0140657551147698
"HNRNPF",-0.00112850521854613,0.0140511889965223
"USP20",-0.00457776142104214,-0.0140398646747329
"GNL3",-0.00717703297782308,0.0140370430583568
"LTBP3",0.0010873135749061,-0.0140361110105383
"LARS",-0.00400009991030263,0.0140239061583017
"ZC3H15",-0.00752013981203148,0.014023603935865
"POLR3E",0.00446463150758512,0.0140174663543051
"FANCM",0.00173179534679681,0.0140146015693024
"PARP1",-0.00112591495364382,0.0140127885820342
"USP15",0.00175438842053375,0.0140040823614801
"NOL4L",-0.00100367727073579,-0.0140010991933134
"DCUN1D5",-0.00755224330815601,0.0139953769429476
"APP",0.00194563483427621,-0.0139950848830834
"BUB1",-0.000903219651713741,0.0139864928530614
"TMEM70",-0.00441102804204999,0.0139764392331195
"MAP2",-0.00367416127288676,-0.0139759700129161
"UBE2K",-0.00533898715409333,0.0139720899268753
"ISG20L2",0.00301043039863469,0.0139639977296921
"MEIS3P1",0.00277850109092413,-0.0139627082098619
"MORC2",0.00357048050950022,0.0139605609676191
"HLA-C",-0.00178160309704749,-0.013960486750984
"SCO1",-0.00740121009213131,0.0139599996446112
"TCF20",0.00177293398446134,0.01395544610549
"SLC39A8",5.21898525618708e-05,0.0139536770076268
"RANBP1",0.00426554251876095,0.0139509720782106
"FAM208B",0.00592730228758855,0.0139465538480812
"PHF5A",-0.00267835126801467,0.0139453623471176
"PINX1",0.00572932251605728,0.0139450214221926
"RUVBL1",-0.00541937730829907,0.013943635072547
"BPGM",0.00107400327429982,0.013943531166491
"WIPI1",-0.00641990628874081,-0.013938231249678
"LRRC58",0.00162083369912578,0.0139276897726598
"NOP58",0.00467414204858585,0.0139243477691699
"ARPC1A",0.00629189246519728,0.0139211158244176
"BOLA3",0.00639774699453062,0.0139134269195113
"STARD7",-0.00320365390961115,0.0139113900474539
"PKM",0.00305036050861055,0.0138936953485385
"SNU13",-0.00233445989139604,0.0138844165317561
"FOXK2",-0.0012228378873726,0.0138796736955593
"FTH1",0.000567689569030571,0.0138783581462212
"URB2",0.00381344685516762,0.0138766395774778
"SERTAD2",-0.000201964817817647,0.0138738531037937
"CLUH",-6.75018440451527e-05,0.0138735395339167
"FAM214A",0.00252498384700388,-0.0138716094100074
"CHD3",0.00241212557241134,-0.0138692245524155
"PSMD11",0.00746763755200972,0.0138675407134344
"HSPBP1",-0.00449228424127035,0.0138606676147309
"SNRPD3",-0.00566299164938424,0.0138573496363837
"CHD1",-0.000427541325908027,0.0138510350299715
"C1QTNF6",-0.00592825463980163,-0.0138468469565067
"MMS22L",0.00116501007000691,0.0138466238228317
"GPATCH4",0.00775211157480218,0.013845490353069
"TRANK1",-0.00108085228777443,-0.0138451370334476
"LAMB2",0.00804790808541094,-0.0138353711273033
"FAM49B",0.00131939826927521,0.0138344705632841
"PRDM11",-0.000623728240371508,-0.0138337653773994
"CAPS",-0.00279006457512666,-0.0138264262601858
"PIP4K2A",0.00596966785506516,0.0138225675226084
"TRIM28",0.00693348540134159,0.0138225353161031
"ATP5F1",-0.00241562692114025,0.0138192613812023
"MRPS12",0.000314702885536727,0.0138187173463646
"TMEM50B",0.00212029747293083,-0.0138186587785486
"USP7",-0.00587675516325187,0.0138145756408448
"DOCK11",0.00523936691085416,-0.0138085769155166
"SERPINA6",-0.00203014707121836,-0.0138071784919065
"HSPE1",-0.00385842346114188,0.0138042094699806
"TPRKB",-0.00315027533203316,0.0137919677451632
"DZANK1",-0.00132238162162315,-0.013789315797311
"GSTM2",-0.00490119326282951,-0.0137801375762274
"PSMB7",-0.00299329000992557,0.0137767675115272
"HEATR1",-0.000326832191768912,0.0137756577116601
"GTF2A2",0.0067773612159579,0.0137751870744639
"RUVBL2",-0.00169893573216166,0.013774096053096
"POM121",0.00405743856564541,0.013772457669959
"TXLNG",-0.00615260272319984,0.0137669358007121
"PAQR7",-0.000549371628084619,-0.0137666183272877
"ADGRB1",0.0001070552803401,-0.0137656317406856
"GADD45B",0.00301993384548565,-0.0137567304900988
"HMGA1",0.00764325914430972,0.0137536319739255
"GJC1",-0.000881556583592554,0.0137518085163127
"GTF2IP4",-8.58128127233823e-05,-0.0137448067539581
"TICRR",0.00203493771195349,0.0137442695387887
"OPRL1",-0.00529244442724199,-0.0137335246395912
"CDK19",-0.00552652451985928,-0.0137303218256509
"GCSH",-0.00137215689560995,0.0137296740815905
"UTRN",0.00292167897542683,-0.013726447700144
"SBF1",-0.000980407838924992,0.0137262758181073
"EIF4G1",0.00738729404754346,0.0137198379432959
"PSMD4",0.00523101591794751,0.0137183971163605
"VBP1",-0.00234442996548206,0.0137177358087971
"TMX1",-0.00483562875505826,0.0137137565363087
"APOH",-0.00302347212757462,-0.0137120314515904
"HSPA8",0.00791536425258915,0.0137105619348471
"DIEXF",0.0039351682056307,0.0137088472864299
"TMEM59L",-0.00380754432811352,-0.01370158394769
"TOX2",0.000486645837223993,-0.0137012625853172
"FAM96A",-0.00454771710289563,0.0136950920688825
"SLIRP",0.0013140839941317,0.0136858662726355
"ANKRA2",-0.0055009188904823,-0.0136801339074926
"C15orf48",0.00151529206594,0.0136752777253296
"GATAD2A",0.00595667899905681,0.0136696821067896
"CUEDC1",0.00653498486033164,-0.013666237397448
"IDH2",-0.00417259071751722,-0.013659116308471
"SNRPF",-0.00623297114818346,0.0136556556642715
"ATP9A",0.000152977008417353,-0.013654900639595
"LMNTD2",0.00195486383073217,-0.0136502792785734
"NLRX1",-0.00435642706821042,-0.0136473473347037
"C11orf24",7.9811185482662e-05,0.0136447107718842
"GAPVD1",-0.00113654085170347,0.0136339778217021
"PSMC1",-0.00245016060386998,0.0136311714453958
"ATP5G3",0.000778766139778946,0.013626273885665
"EXO1",0.00303159617633737,0.0136211401581418
"PBXIP1",-0.00705854750730799,-0.0136194512781993
"TFDP2",-0.0046365531708757,-0.0136103006374133
"OPHN1",-0.006730278221506,-0.01360989736441
"GTF2F2",-0.00685084484846871,0.0136059732635877
"SERINC1",0.00519435288596664,-0.0136051484613176
"SPR",-0.00321145637163514,0.0136021818181795
"MTHFD2",-0.00765868493406752,0.0135974422193764
"ALDH3B1",-0.00844333122065021,-0.0135862778838781
"WDR53",0.00217905437301079,0.0135852899666736
"SDHB",-0.00515853942944612,0.0135816138647508
"TIA1",0.00124556846642165,-0.0135795066091981
"ITGA11",0.00581776678807434,-0.0135790996347734
"TJAP1",-0.00299289834021033,-0.0135789532384926
"STRA6",-0.00746419933482938,-0.0135778370918635
"NLRP1",0.000834718888583008,-0.0135738110443893
"DHX15",-0.00197363906854822,0.0135593934683157
"ARPC5L",0.00564531683227303,0.0135509082605307
"RAB37",-0.00762566085892942,-0.0135479414672565
"NEIL2",-0.00553443407095968,0.0135440070629395
"ACBD4",0.00465328626513057,-0.0135390879815712
"NPM1",-0.00657221180921968,0.0135373721926712
"PELO",0.0066408010937489,0.0135351106051279
"FAM46A",-0.000303961600001776,-0.0135247232207223
"ALDOA",-0.00231522079462923,0.0135224670578344
"ARCN1",0.00248516240402878,0.0135203409445916
"TRNT1",0.00235702153890647,0.0135197501115579
"MCM3",0.00011799414955872,0.0135144953545523
"FRAS1",0.00177636866924559,-0.013513387369973
"CBX3",0.00217093012347291,0.0135127143427862
"ZCCHC17",-0.000336572383063736,0.0135122151458764
"CPEB2",0.00547972403084674,-0.0135034347056614
"MRAS",-0.0029439929884432,-0.0134993670559978
"LINC00662",-0.00702614445502108,0.013497855955196
"ORC5",-0.00291315665169081,0.013496863406431
"MT1X",-0.0051861347104236,-0.0134922668561781
"RRP12",0.000532168175406741,0.0134898340542366
"AVIL",-0.00357415286793386,-0.0134842739995846
"RP1-60O19.1",0.00729391632415504,-0.0134796217110848
"NOXA1",0.00546919233056269,-0.0134749261016514
"SSX2IP",0.000637423418206762,0.0134743948482043
"ZNF143",0.000423726728429416,0.0134694678098032
"CNTN1",-0.00478974777255638,-0.0134673216644184
"PDSS1",0.0057775155614615,0.0134555429239063
"SFXN1",0.0029873665251857,0.0134536552727126
"FA2H",0.00352820559143165,0.0134532085607777
"NUP98",0.00684804499641567,0.0134404366285904
"MSH2",0.00631610327430568,0.0134376690237464
"UTP11",-0.00683778833456465,0.013433100834516
"PUS1",-0.00551724549066067,0.0134306865756213
"CAMK1D",-0.00037475213362399,-0.0134273063770576
